"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Privacy Preserving Data Mining Framework for Negative Association Rules: An Application to Healthcare Informatics","S. M. Darwish; R. M. Essa; M. A. Osman; A. A. Ismail","Department of Information Technology, Institute of Graduate Studies and Research, University of Alexandria, Alexandria, Egypt; Department of Information System, Higher Institute for Management and Information Technology, Kafr El-Sheikh, Egypt; Department of Information System, Higher Institute for Management and Information Technology, Kafr El-Sheikh, Egypt; Higher Institute of Computers and Information Systems, Abo Qir, Alexandria, Egypt",IEEE Access,"26 Jul 2022","2022","10","","76268","76280","Protecting the privacy of healthcare information is an important part of encouraging data custodians to give accurate records so that mining may proceed with confidence. The application of association rule mining in healthcare data has been widespread to this point in time. Most applications focus on positive association rules, ignoring the negative consequences of particular diagnostic techniques. When it comes to bridging divergent diseases and drugs, negative association rules may give more helpful information than positive ones. This is especially true when it comes to physicians and social organizations (e.g., a certain symptom will not arise when certain symptoms exist). Data mining in healthcare must be done in a way that protects the identity of patients, especially when dealing with sensitive information. However, revealing this information puts it at risk of attack. Healthcare data privacy protection has lately been addressed by technologies that disrupt data (data sanitization) and reconstruct aggregate distributions in the interest of doing research in data mining. In this study, metaheuristic-based data sanitization for healthcare data mining is investigated in order to keep patient privacy protected. It is hoped that by using the Tabu-genetic algorithm as an optimization tool, the suggested technique chooses item sets to be sanitized (modified) from transactions that satisfy sensitive negative criteria with the goal of minimizing changes to the original database. Experiments with benchmark healthcare datasets show that the suggested privacy preserving data mining (PPDM) method outperforms existing algorithms in terms of Hiding Failure (HF), Artificial Rule Generation (AR), and Lost Rules (LR).","2169-3536","","10.1109/ACCESS.2022.3192447","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9832893","Privacy-preserving data mining;healthcare data;evolutionary computation;sanitization process","Medical services;Data privacy;Genetic algorithms;Databases;Optimization;Data integrity;Task analysis","","20","","64","CCBY","19 Jul 2022","","","IEEE","IEEE Journals"
"Towards Efficient and Secure Framework for Devices and Informatics for Internet of Medical Things","R. Mishra; R. Prasad","Department of Computer Engineering, University of Mumbai, Mumbai, India; Department of Business Development, Aarhus University, Herning, Denmark",2022 25th International Symposium on Wireless Personal Multimedia Communications (WPMC),"20 Jan 2023","2022","","","459","463","The healthcare system had been on high vigilant due to the sudden outbreak of the Covid-19 pandemic. This stimulated the need for a smart healthcare system for early diagnosis, prevention from spreading, treatment, and simplified living. Remote monitoring, telemedicine, and body sensors are certain areas where the adaptation of IoMT has proved to be a boon. The advancement in the technology for healthcare devices and their security has been challenging too. The sensor implanted, employed in remote healthcare are vulnerable to attacks, as well as, is resource constraint when used in an IoT environment. Privacy is the biggest issue with IoT, as all linked devices transmit data in real time. This paper proposes, the framework for utilizing blockchain model-based parameters that will be distributed in nature and prevent malicious attacks that may threaten healthcare applications. We also discuss the various vulnerabilities on IoMT devices and methods that are employed for authentication and secure access to medical records for IoMT healthcare management.","1882-5621","978-1-6654-7318-7","10.1109/WPMC55625.2022.10014830","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10014830","Internet of Medical Things;Healthcare;challenges;Vulnerability;Blockchain","Wireless communication;Wireless sensor networks;Telemedicine;Medical services;Real-time systems;Blockchains;Security","","2","","33","IEEE","20 Jan 2023","","","IEEE","IEEE Conferences"
"Data Leakage Detection Using Secret Key Exchange","D. Jyothirmai; B. Vineela; R. Pitchai; B. Dinesh; M. Indhu; A. G. Avinash","B V Raju Institute of Technology, Narsapur, Telangana, India; B V Raju Institute of Technology, Narsapur, Telangana, India; B V Raju Institute of Technology, Narsapur, Telangana, India; B V Raju Institute of Technology, Narsapur, Telangana, India; B V Raju Institute of Technology, Narsapur, Telangana, India; B V Raju Institute of Technology, Narsapur, Telangana, India",2023 2nd International Conference on Edge Computing and Applications (ICECAA),"16 Aug 2023","2023","","","218","222","Data leakage is a significant problem in many industries and institutions. While there are different methods for protecting data using various encryption algorithms, this technology doesn't provide complete security. In some cases, a data distributor may give sensitive data to trusted agents (third parties), and some of the data may be leaked in an unauthorized place. In such cases, the distributor must assess the likelihood that the leaked data came from one or more of the agents, as opposed to having been independently. This paper proposes strategies for allocating data across agents to improve the probability of identifying leaks in the event of data leakage. The proposed methods do not rely on altering the released data like watermarks. Instead, they focus on distributing the data in a way that makes it easier to identify the source of the leak. The paper highlights that data leakage is a significant problem that can lead to a loss of money, damage to reputation, and more. It can occur due to security vulnerabilities, poor data protection practices, or accidentally by a user. Therefore, it's essential to take measures for avoiding data leakage and protect data. Using the proposed strategies, the distributor can improve chances of identifying the source of the leak and taking appropriate action to prevent data leakage.","","979-8-3503-4757-9","10.1109/ICECAA58104.2023.10212102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10212102","Data Leakage;Watermarks;Encryption;Data Protection;Security","Industries;Data protection;Watermarking;Machine learning;Data models;Encryption;Leak detection","","","","15","IEEE","16 Aug 2023","","","IEEE","IEEE Conferences"
"Modelling Investment Programs with Machine Learning and Data Mining: Descriptive and Predictive Models of Healthcare State Programs in Russia","A. Gerasimov; E. Trofimov; G. Kopanitsa; O. Metsker","National Research University Higher School of Economics, The All-Russian State University of Justice, Saint-Petersburg, Russia; National Research University Higher School of Economics, The All-Russian State University of Justice, Saint-Petersburg, Russia; ITMO University, Saint-Petersburg, Russia; ITMO University, Saint-Petersburg, Russia",2022 31st Conference of Open Innovations Association (FRUCT),"11 May 2022","2022","","","45","50","This paper describes the results of data research and the development of models based on machine learning for forecasting and describing factors affecting the achievement of federal projects on the example of a project to improve the quality of life in Russia. We searched for the best predictors to forecast an infant mortality as one of the direct indicators of a healthcare system quality. The dataset included the social and economical indexes of Russia. We performed a Gradient Boost with 0.98 R squared. We performed a correlation analysis using F-Measure to find the predictors with the highest predictive power. During the research work, it was possible to identify factors affecting the indicators of the national health project. It is worth noting that the indicators of national projects are influenced by the level of education of the head of the region and work experience. The combination of a large territory, a high proportion of the urban population and economic activity are three important factors that require the modernization of the system of public administration. However, in Russian conditions, when public administration is highly unified, such a transformation practically does not take place. This work certainly contributes to the development of methods of applying machine learning to analyze complex performance indicators of public administration. The conclusion is made about the possibilities of using the obtained model to supplement the program-objective methods used in government programs with more fine and precise regulatory tools to achieve greater efficiency by optimizing the law.","","978-952-69244-7-2","10.23919/FRUCT54823.2022.9770894","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9770894","","Correlation;Law;Biological system modeling;Government;Sociology;Education;Medical services","","","","21","","11 May 2022","","","IEEE","IEEE Conferences"
"Hierarchical Cloud-Based Consortium Blockchains for Healthcare Data Storage","A. Thamrin; H. Xu","Computer and Information Science Department, University of Massachusetts Dartmouth, Dartmouth, MA, USA; Computer and Information Science Department, University of Massachusetts Dartmouth, Dartmouth, MA, USA","2021 IEEE 21st International Conference on Software Quality, Reliability and Security Companion (QRS-C)","1 Apr 2022","2021","","","644","651","Blockchain technology can be used as a healthcare solution that allows hospitals to store and share electronic health records (EHRs) in a secure and reliable manner. However, the number of hospitals that can participate in a blockchain network is limited by the inclusion of big data such as multimedia files, which presents an obvious scalability problem. In this paper, we introduce a hierarchical cloud-based consortium blockchain framework for storing big data including multimedia files within cloud-based local hospital blockchain networks and sharing them with hospitals outside the networks through high-level blockchain networks, called city blockchain networks and state blockchain network. We present procedures for concurrently searching EHRs, creating access control policies for authorized access, and retrieving EHRs through hierarchical blockchain networks. The experimental results show that our approach is feasible and efficient for accessing and sharing EHRs using hierarchical cloud-based consortium blockchains throughout a country.","2693-9371","978-1-6654-7836-6","10.1109/QRS-C55045.2021.00098","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9741958","Hierarchical blockchains;electronic health records;multimedia files;cloud-based blockchain;access control policies","Hospitals;Scalability;Conferences;Urban areas;Memory;Software quality;Big Data","","3","","16","IEEE","1 Apr 2022","","","IEEE","IEEE Conferences"
"Chronic Disease Management using Semantic Web Technologies","M. Gulzar; M. Ahmed","Department of Computer Science & Information Technology, Maulana Azad National Urdu University (Central University), Hyderabad, India; Department of Computer Science & Information Technology, Maulana Azad National Urdu University (Central University), Hyderabad, India",2023 10th International Conference on Computing for Sustainable Global Development (INDIACom),"4 May 2023","2023","","","1629","1633","Healthcare domain generates huge amount of data every day. To store and retrieve data meaningfully semantic web technologies can be used. Semantic web technologies contain tools for creating ontologies, Semantic web rule language (SWRL) for inferring new knowledge and SPARQL query language for retrieving the semantic data. In the health care domain chronic diseases needs continues attention. Chronic diseases need continues monitoring, diagnosis and treatments. Semantic web technologies use various data like patient's health history, medical guidelines, disease symptoms, medication prescribed and other patient related information to construct a knowledge base by using ontologies. By using inference rules new information is produced like, what type of care should be given, which type of diet should be taken and what medications has to be prescribed. Patients can be remotely monitored as well as patients can take decisions at home. By using knowledge base decision support systems can be constructed. In this paper we will study various application areas of semantic web technologies in the field of chronic diseases.","","978-93-80544-47-2","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10112436","chronic diseases;Semantic web;Ontology;RDF;SWRL","Semantic Web;Knowledge engineering;Knowledge based systems;Semantics;Medical services;Ontologies;History","","","","28","","4 May 2023","","","IEEE","IEEE Conferences"
"Improving quality in Digital Health Intervention safety","S. Harrison; C. Maple; G. Epiphaniou; T. N. Arvanitis","Institute of Digital Healthcare, WMG, University of Warwick, Coventry, UK; Institute of Digital Healthcare, WMG, University of Warwick, Coventry, UK; Institute of Digital Healthcare, WMG, University of Warwick, Coventry, UK; School of Engineering, University of Birmingham, Birmingham, UK",International Conference on AI and the Digital Economy (CADE 2023),"21 Nov 2023","2023","2023","","164","169","Advances in technology within the health industry powered by the use of health data and digital tools are providing greater choice and availability of Digital Health Interventions (DHIs) to society. The comprehension of DHIs within the context of intended purpose, safety claims (quality and safety assertions) made and limitations in use are not standardised. This presents a significant problem, especially when there is a larger volume of DHIs to consider. Safety claims are substantiated through the intended use of the DHI, performance and effective risk management. The World Health Organisation (WHO) defines DHIs as digital health functionality that enable improvements in patient safety and health strategies and addresses health system challenges (HSC). A classification scheme of DHI is presented, providing a taxonomy to enable an intended use to be aligned to a HSC. We postulate through risk management and safety methods, DHI classes and HSC categories can be related to improve safety claims. Using a qualitative hazard identification method to improve these safety claims. We aim to standardise through our method to improve terminology, link to the ontology, and provide overall simplification of safety claim. Hazards are analysed and linked to DHI classes, which relate to the objectives of safety implementing and using the DHI function. An initial hazard identification on the DHI and a rationale for the justification, substantiates the claim made.","","978-1-83953-959-6","10.1049/icp.2023.2610","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10324583","","","","","","","","21 Nov 2023","","","IET","IET Conferences"
"Model-based Customer-Relationship Management System and Strategic Board Game: Analogical Training","C. -S. Lee; C. -H. Ng; J. -S. Lee; K. -X. Ngo; S. -M. Teh; A. b. Mohamed Ikraam; C. -Y. Lim; S. S. Pandey","Department of Computing and Information Systems Sunway University, Malaysia; Department of Computing and Information Systems Sunway University, Malaysia; Department of Computing and Information Systems Sunway University, Malaysia; Department of Computing and Information Systems Sunway University, Malaysia; Department of Computing and Information Systems Sunway University, Malaysia; Department of Computing and Information Systems Sunway University, Malaysia; Department of Computing and Information Systems Sunway University, Malaysia; Department of Computing and Information Systems Sunway University, Malaysia",2021 3rd International Workshop on Artificial Intelligence and Education (WAIE),"30 Mar 2022","2021","","","69","73","The pandemic has caused much mental, social and financial stress. Policies and standard operating procedures have helped to alleviate some stress and create systematicity, expectancy, and predictability. This paper aims to alleviate some of the stress through model-based social customer relationship management system, an Augmented Reality board game, and two mini tourism games. The first aims to increase collaboration among stakeholders and to increase more effective and efficient resource management. The second phases players through the preparation, recruitment, attack and observation phases at a slower pace than competitive gaming. The third and fourth project introduce places and trigger memories through mini games respectively. These provide analogical training in social customer relationship management and in developing more systematic thinking, expectations, fun and mindfulness. AI-assistance would enable personalization/intelligent context-aware recommendations.","","978-1-6654-0068-8","10.1109/WAIE54146.2021.00022","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9743151","developing analogical thinking;systematicity;positive expectations;social CRM;Augmented Reality board game;story-based mini tourism games;during-post-pandemic","Training;Uncertainty;Systematics;Smart cities;Games;Stakeholders;Resource management","","1","","26","IEEE","30 Mar 2022","","","IEEE","IEEE Conferences"
"Analysing Security Threats And Elevating Healthcare Privacy For A Resilient Future","A. Gupta; U. Gupta; A. Kumar; B. Bhushan","Department of Computer Science and Tecchnology, Sharda University, Greater Noida, India; Department of Computer Science and Tecchnology, Sharda University, Greater Noida, India; Department of Computer Science and Tecchnology, Sharda University, Greater Noida, India; Department of Computer Science and Tecchnology, Sharda University, Greater Noida, India",2023 International Conference on Artificial Intelligence for Innovations in Healthcare Industries (ICAIIHI),"15 Apr 2024","2023","1","","1","6","Large-scale medical data sets such as computed tomography, genetic data, and X-ray pictures are growing largely in volume at a rate of 20–40 percent annually. Insider assaults are growing and are more damaging and common, causing damage to key infrastructure on a massive scale. Recent attacks on the United Kingdom's National Health Service, such as the WannaCry ransomware attack which relies on internal users for first infection, highlights the increasing importance of malevolent insiders in cyber-attack operations. The objective of this paper is to discuss some technologies to effectively counter insider threats involving privilege misuse. Further, this paper highlights different methods proven to be the most efficient in mitigating insider threats, such as blockchain and cryptography security systems, and also discusses permissioned and permission-less blockchain for securely sharing of medical data. Finally, this paper discusses some recent advancements in security and privacy in healthcare.","","979-8-3503-3091-5","10.1109/ICAIIHI57871.2023.10489079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10489079","Privacy and Security;Threat Analysis;Healthcare;Data Breaches","Industries;Privacy;Technological innovation;Reviews;Medical services;Genetics;Blockchains","","1","","36","IEEE","15 Apr 2024","","","IEEE","IEEE Conferences"
"Conversational AI","A. M. Buttar; F. Shahzad; U. Jamil","University of Agriculture Faisalabad, Faisalabad, Pakistan; University of Agriculture, Faisalabad, Pakistan; Government College University, Faisalabad, Pakistan",Conversational Artificial Intelligence,"","2024","","","31","58","Summary <p>Cloud computing is gaining popularity day by day due to its features like stability, ease of manageability, and flexibility, but at the same time, there are serious concerns about the security of data. It sparked the development of brand‐new IOT and AI‐based business models and hastened technology adoption. IOT devices and big data not only increased the volume of data but also enhanced the complexity, leading to being more prone to hacking and privacy compromises. More smart and intelligent models need to be introduced to handle these security issues; this is where AI comes in. Conversational AI technologies like chatbots and virtual assistants use big data, machine learning, and natural language processing to simulate human interaction. They understand speech and text inputs and translate them into several languages. Data collecting is necessary for conversational AI to reply to user inquiries. The method is prone to privacy and security breaches. Security measures are required at three levels, i.e., data storage, processing, and transmission. Traditional device centric security systems are not sufficient and need to evolve to data‐centric protection solutions, in which security aspects need to be focused at all the three levels. AI can help to automate the process of dynamic threat detection, reaction, and future avoidance. Many organizations are still resistant to adopt cloud computing due to security concerns, despite all complexities and overheads of managing on‐premises data centers. The paper discusses the available cloud models, related privacy and security issues, and barriers perceived in migrating applications to cloud and finally proposes an advanced security model for cloud‐based conversational AI applications.</p>","","9781394200795","10.1002/9781394200801.ch3","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10951793.pdf&bkn=10950236&pdfType=chapter","","Cloud computing;Conversational artificial intelligence;Security;Data models;Solid modeling;Servers;Knowledge based systems;Computational modeling;Speech recognition;Biological system modeling","","","","","","8 Apr 2025","","","Wiley","Wiley AI eBook Chapters"
"Healthcare Mobile App for Rural Areas and Recent Advancements","M. S. Das; G. R. Kumar; D. V. Lakshmi","Dept. of CSE, CVR college of Engineering, Hyderabad, India; Department of IT, VNR VJIET, Hyderabad, India; Dept. of IT, Mahatma Gandhi Institute of Technology, Hyderabad, India","2023 IEEE 5th International Conference on Cybernetics, Cognition and Machine Learning Applications (ICCCMLA)","18 Dec 2023","2023","","","209","220","E-Healthcare technologies assist medical professionals and provide services in hospitals. Technologies and tools are used for real-time patient tracking and dynamically reporting data and medical conditions. Medical health in rural areas for critical diseases, and emergency conditions treatment for patients is a difficult task. For this, the suggested e-Mobile healthcare app is a solution for maintaining EHRs, monitoring and providing a Mobile Healthcare app dashboard for functional services. The proposed model is the e-Healthcare app for rural areas DASH board Interface. E-Healthcare app for rural areas, and functions such as login, book appointment, management profile, wallet and payment, and view prescriptions and meetings. The system provides optimum utilization of services for medical staff. It also provides services, applications, recent advancements, and future applications for the prediction of disease.","","979-8-3503-3828-7","10.1109/ICCCMLA58983.2023.10346913","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10346913","e-healthcare;iot;rural healthcare;mobile app;medical applications;ehr;ai","Hospitals;Conferences;Machine learning;Real-time systems;Cognition;Mobile applications;Task analysis","","3","","25","IEEE","18 Dec 2023","","","IEEE","IEEE Conferences"
"HEAL-SDN: Artificial Neural Network-based Secure Data Exchange Framework for SDN Controllers in Healthcare 4.0","M. Kumhar; J. Bhatia; N. K. Jadav; A. A. Padaria; R. Gupta; S. Tanwar; J. J. P. C. Rodrigues","Research Scholar, Gujarat Technological University, Ahmedabad, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, India; Department of Computer Science and Engineering, Institute of Technology, Nirma University, Ahmedabad, India; COPELABS, Lusofona University, Lisbon, Portugal; COPELABS, Lusofona University, Lisbon, Portugal; COPELABS, Lusofona University, Lisbon, Portugal; COPELABS, Lusofona University, Lisbon, Portugal",2023 IEEE Globecom Workshops (GC Wkshps),"21 Mar 2024","2023","","","1832","1837","In recent years, the Internet of Things (loT) has gained a lot of popularity due to the various advantages it poses, such as automation, efficient sensing capabilities, and offering predictive services. Specifically, healthcare systems are transformed on an unprecedented scale due to the incorporation of cutting-edge technologies, such as loT, artificial intelligence, blockchain, and cloud computing. Wearable devices in IoMT use energy-constrained, low-power loT sensors with security and privacy concerns to send data. Various attacks, including device identification, location of the device, and privacy-invading interaction, can significantly impact data transmission between the source and target device. A Software-defined network (SDN) with multiple controllers and AI techniques is used to address numerous security-related issues. This paper proposed a secure data exchange framework, i.e., HEAL-SDN that securely sends the patient's health data from the source SDN controller to the target controller. The ANN model is trained on a network dataset further deployed on SD N controllers to classify the malicious and non-malicious wearable data. The received data are categorized into malicious and non-malicious in various healthcare services of Healthcare 4.0. The simulation results demonstrate that the HEAL-SDN outperforms the traditional security frameworks. HEAL-SDN is quite efficient and achieves good accuracy, i.e., training accuracy (98.72 %), training loss (0.03), for identifying the malicious data in the SDN-enabled healthcare 4.0.","","979-8-3503-7021-8","10.1109/GCWkshps58843.2023.10465150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10465150","Artificial Intelligence;Software Defined Networks;Artificial Neural Network;Deep Learning;Machine Learning;SDN Controllers","Training;Medical services;Artificial neural networks;Data models;Security;Wearable devices;Artificial intelligence","","","","12","IEEE","21 Mar 2024","","","IEEE","IEEE Conferences"
"A Perspective Analysis of Regularization and Optimization Techniques in Machine Learning","A. K. Jain; P. P. Rao; K. V. Sharma","Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, (Association: CSE, KMIT, Hyderabad, India), Vaddeswaram, AP, India; CSE, KLEF, Vaddeswaram, AP, India; CSE, CVR College of Engg, Hyderabad, India","Computational Analysis and Deep Learning for Medical Care: Principles, Methods, and Applications","","2021","","","393","427","Summary <p>In the present days of big data analytics, the magnitude of data generated is escalating at an exponential rate and requires high‐end machines with many‐core CPUs (GPUs) to handle. To deal with such scenarios, conventional optimization and regularization methods have been practiced to solve for optimum solutions. The structural information contents in big data vary in their representations, and the algorithms have to deal with their sparsity of underlying datasets. Thus, in engineering science applications, the methodologies play a significant role in finding out extremums with constraints. However, due to their paramount size, the traditional algorithms have to deal with contemporarily non‐convex nature of data and have to covenant with manifold parameters. Consequently, the needs for dealing with larger datasets is equally parallel growing and have opened up variety of new techniques as well as delving into innovative research directions. In turn, this necessitates us to look further at various methodologies of optimizations and regularization algorithms focused therein from machine learning (ML) viewpoint. Evidently, the adeptness in model complexity is much more in ML scenarios and also fairy challenging task too! In the retrospect, the conventional methodologies have been proving very exciting to deal with current needs and explicabilities.</p>","","9781119785743","10.1002/9781119785750.ch16","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10954876.pdf&bkn=10950300&pdfType=chapter","","Education;COVID-19;Internet;Web sites;Pandemics;Media;Multimedia communication;Internet telephony;Freeware;Urban areas","","","","","","8 Apr 2025","","","Wiley","Wiley AI eBook Chapters"
"Integrating HL7 FHIR into Clinical Decision Support Systems: A Real-World Application with Pepper Humanoid Robot in Hospital During Doctor Visits","V. Šafran; S. Horvat; B. Ilijevec; I. R. Roj; V. Flis; I. Mlakar","Laboratory of Digital Signal Processing, University of Maribor, Faculty of Electrical Engineering and Computer Science, Maribor, Slovenia; Department of Thoracic Surgery, University Medical Centre Maribor, Maribor, Slovenia; Clinical Department of Abdominal and General Surgery, University Medical Centre Maribor, Maribor, Slovenia; Department of Nurses in Clinic for Surgery, University Medical Centre Maribor, Maribor, Slovenia; Clinical Department of Cardiac Surgery, University Medical Centre Maribor, Maribor, Slovenia; Laboratory of Digital Signal Processing, University of Maribor, Faculty of Electrical Engineering and Computer Science, Maribor, Slovenia",2024 9th International Conference on Mathematics and Computers in Sciences and Industry (MCSI),"1 Jan 2025","2024","","","139","145","This study explores the integration of HL7 Fast Healthcare Interoperability Resources (FHIR) into a Clinical Decision Support System (CDSS) utilizing a Pepper robot to enhance doctor visits in a hospital setting. We evaluate a real-world implementation where the Pepper robot acts as an interface for data collection from patients, clinical monitors, and hospital information systems. The CDSS leverages FHIR to seamlessly integrate this data and present it visually, aiming to improve clinical decision-making processes for doctors. Our research investigates the potential of this FHIR-based CDSS with a robot interface to optimize healthcare delivery and potentially improve patient outcomes.","2996-2056","979-8-3503-7722-4","10.1109/MCSI63438.2024.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10817749","HL7 FHIR;Clinical Decision Support System;Humanoid Robot;Hospital;Doctor Visits;Data Integration;Visualization","Decision support systems;Surveys;Hospitals;Service robots;Soft sensors;Transforms;User experience;Usability;Monitoring;Interoperability","","","","18","IEEE","1 Jan 2025","","","IEEE","IEEE Conferences"
"Wireless Sensor‐based IoT System with Distributed Optimization for Healthcare","R. Anand; D. Pandey; D. N. Gupta; M. K. Dharani; N. Sindhwani; J. V. N. Ramesh","1Department of ECE, G.B. Pant DSEU Okhla&#x2010;1 Campus (formerly GBPEC), New Delhi, India; 2Department of Technical Education, IET, Dr. A.P.J. Abdul Kalam Technical University, Lucknow, Uttar Pradesh, India; 3CDAC, Mumbai, Maharashtra, India; 4Department of Artificial Intelligence, Kongu Engineering College, Erode, Tamil Nadu, India; 5AIIT, Amity University, Noida, Uttar Pradesh, India; 6Department of Computer Science and Engineering, Koneru Lakshmaiah Education Foundation, Vaddeswaram, Guntur, Andhra Pradesh, India",Meta-Heuristic Algorithms for Advanced Distributed Systems,"","2024","","","261","288","For the purposes of the internet of things (IoT), a WSN is a collection of geographically scattered, purpose‐built sensors that monitor and record environmental variables and then transmit that data in bulk by wireless means to a central server connected to the internet. Using IoT in healthcare facilities, there are several ways in which IoT devices might benefit hospitals beyond just keeping tabs on patients' well‐being. The real‐time position of medical devices such as wheelchairs, defibrillators, nebulizers, oxygen pumps, and other monitoring equipment may be tracked with the help of IoT devices equipped with sensors. Yet, it has been realized that healthcare settings need dispersed optimization. It is difficult to implement a healthcare IoT system using a WSN. Hence, traditional studies with various types of research techniques are taken into account in the WSN‐based IoT and healthcare fields.","","9781394188079","10.1002/9781394188093.ch16","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10473725.pdf&bkn=10473747&pdfType=chapter","","Wireless sensor networks;Wireless communication;Temperature sensors;Topology;Monitoring;Communication system security;Temperature measurement","","1","","","","18 Mar 2024","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Blockchain as a Cyber Defense: Opportunities, Applications, and Challenges","S. Lee; S. Kim","School of Cybersecurity, Institute of Cyber Security and Privacy (ICSP), Korea University, Seoul, South Korea; School of Cybersecurity, Institute of Cyber Security and Privacy (ICSP), Korea University, Seoul, South Korea",IEEE Access,"7 Jan 2022","2022","10","","2602","2618","Targets of cyber crime are not exclusive to the private sector. Successful cyber attacks on nation-states have proved that cyber threats can jeopardize significant national interests. In response, nation-states have begun to handle cyber threats at the national defense level, which is titled ‘cyber defense.’ The cyber defense sector is related to national security, therefore requires robust security technology. Contrary to normal systems, blockchain provides strong security properties without a centralized control entity, and as such its application in the cyber defense field is under the spotlight. In this paper, we present opportunities blockchain provides for cyber defense, research and national projects, and limitations. We constructed a survey of government documents, interviews, related news, technical reports, and research papers from 2016 to 2021. As a result, our research contributes to reducing the gap in blockchain for cyber defense by systematically conducting research and analysis. In our research, we found that not only research but also government-led plans are actively promoting blockchain, which demonstrates that blockchain will play a remarkable role in cyber defense. This paper concludes with suggestions for future research in aspects of the blockchain technology, evaluation, and survey.","2169-3536","","10.1109/ACCESS.2021.3136328","Institute for Information and communications Technology Promotion (IITP) Grant; Korean Government through MSIT [Development of High-Assurance (≥EAL6) Secure Microkernel](grant numbers:2018-0-00532); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9654201","Blockchain;cyber security;cyber defense;military;survey","Blockchains;Bitcoin;Computer security;Computer crime;Smart contracts;Military communication;Data structures","","22","","102","CCBY","16 Dec 2021","","","IEEE","IEEE Journals"
