"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Malviya R.; Sundram S.","Malviya, Rishabha (59157654900); Sundram, Sonali (57223986054)","59157654900; 57223986054","CREATING SMART HEALTHCARE WITH BLOCKCHAIN AND ADVANCED DIGITAL TECHNOLOGY","2025","Creating Smart Healthcare with Blockchain and Advanced Digital Technology","","","","1","436","435","0","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-105001294638&partnerID=40&md5=61f2121e99125e63d15ea39e3db9da39","Blockchain in healthcare is a recent breakthrough and is redefining the information architecture that underpins all healthcare services. Blockchain can make health information systems safer, more efficient, more accessible, and more dependable. This new book introduces the basic concepts of blockchain in relation to the healthcare sector and offers solutions for enhanced healthcare services, management, and administration. The book deals with the use of blockchain in remotely monitoring patients, in creating medical contracts, and in enhancing data transmission security in healthcare. It covers the role of blockchain in patient selection and treatment strategies, in tracking diseases and pandemics, in managing supply chains, and in the health insurance sector. Finally, the book also presents the challenges that may occur due to digital transformation and looks at how blockchain technology can transform healthcare in the future. © 2025 by Apple Academic Press, Inc.","Book","Final","","Scopus","2-s2.0-105001294638"
"Faroun H.; Zary N.; Baqer K.; Alkhaja F.; Gad K.; Alameddine M.; Al Suwaidi H.","Faroun, Hayette (58241842000); Zary, Nabil (12776065800); Baqer, Khalifa (58242302500); Alkhaja, Farida (58241612600); Gad, Kareem (58241612700); Alameddine, Mohamad (14521851100); Al Suwaidi, Hanan (57216826051)","58241842000; 12776065800; 58242302500; 58241612600; 58241612700; 14521851100; 57216826051","Identification of Key Factors for Optimized Health Care Services: Protocol for a Multiphase Study of the Dubai Vaccination Campaign","2023","JMIR Research Protocols","12","","e42278","","","","0","10.2196/42278","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85158911146&doi=10.2196%2f42278&partnerID=40&md5=b9c287d1ed43287fd0dc1d53cf57cd4f","Background: Mass vaccination of the global population against the novel COVID-19 outbreak posed multiple challenges, including effectively administering millions of doses in a short period of time while ensuring public safety and accessibility. The government of Dubai launched a mass campaign in December 2020 to vaccinate all its citizens and residents, targeting the population aged >18 years against COVID-19. The vaccination campaign involved a transformation of multiple commercial spaces into mass vaccination centers across the city of Dubai, the largest of which was the Dubai One Central (DOC) vaccination center. It was operational between January 17, 2021, and 27 January 27, 2022. Objective: The multiphase research study aims to empirically explore the opinions of multiple health care stakeholders, elicit the key success factors that can influence the effective delivery of emergency health care services such as a COVID-19 mass vaccination center, and explore how these factors relate to one another. Methods: To understand more about the operations of the DOC vaccination center, the study follows a multiphase design divided into 2 phases. The study is being conducted by the Institute for Excellence in Health Professions Education at Mohammed Bin Rashid University of Medicine and Health Sciences between December 2021 and January 2023. To elicit the key success factors that contributed to the vaccination campaign administered at DOC, the research team conducted 30 semistructured interviews (SSIs) with a sample of staff and volunteers who worked at the DOC vaccination center. Stratified random sampling was used to select the participants, and the interview cohort included representatives from the management team, team leaders, the administration and registration team, vaccinators, and volunteers. A total of 103 people were invited to take part in the research study, and 30 agreed to participate in the SSIs. To validate the participation of various stakeholders, phase 2 will analytically investigate one’s subjectivity through Q-methodology and empirically investigate the opinions obtained from the research participants during phase 1. Results: As of July 2022, 30 SSIs were conducted with the research participants. Conclusions: The study will provide a comprehensive 2-phase approach to obtaining the key success factors that can influence the delivery of high-quality health care services such as emergency services launched during a global pandemic. The study’s findings will be translated into key factors that could support designing future health care services utilizing evidence-based practice. In line with future plans, a study will use data, collected through the DOC vaccination center, to develop a simulation model outlining the process of the customer journey and center workflow. © Hayette Faroun, Nabil Zary, Khalifa Baqer, Farida Alkhaja, Kareem Gad, Mohamad Alameddine, Hanan Al Suwaidi.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85158911146"
"Araujo A.; Vidal F.D.B.; Faleiros Martins A.C.; Bonifácio R.; Atique M.; Cabral Fernandes J.H.","Araujo, Aleteia (15924909500); Vidal, Flávio de Barros (54924361000); Faleiros Martins, Anna Carolina (55144058000); Bonifácio, Rodrigo (23003728900); Atique, Mateus (57211753981); Cabral Fernandes, Jorge Henrique (57201544831)","15924909500; 54924361000; 55144058000; 23003728900; 57211753981; 57201544831","An overview of the Information Systems in Primary Care of the Brazil's Unified Health System; [Uma visão geral dos Sistemas de Informação da Atenção Primária à Saúde do Brasil]","2022","Iberian Conference on Information Systems and Technologies, CISTI","2022-June","","","","","","1","10.23919/CISTI54924.2022.9820222","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85134824842&doi=10.23919%2fCISTI54924.2022.9820222&partnerID=40&md5=5e079c25f2ba7859555c4063b73a65b2","The Unified Health System (SUS) was established in Brazil by the Federal Constitution of 1988 to meet the constitutional mandate that classifies health as a right for all and a duty of the State. When considering that Brazil has more than 210 million people, it is noted that the SUS, with a annual budget (2022) of US$ 31B is the largest public and free health system in the world. To manage all care provided by SUS in health centers and posts, hospitals, laboratories, and blood centers, including; and the Health Surveillance, Epidemiological Surveillance, Environmental Surveillance services, in addition to foundations and academic and scientific research institutes, the Ministry of Health (MS) makes use of more than 300 technological platforms. However, despite the existence of all these systems, there is still no characterization of this platforms from the perspective of computational architecture of Health Information Systems (HIS). Thus, this article presents the main aspects of the SIS and the computational characteristics of the ICT systems which support the management of Primary Health Care in the SUS. © 2022 IEEE Computer Society. All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-85134824842"
"Zaki M.; Sivakumar V.; Shrivastava S.; Gaurav K.","Zaki, Mohammed (57225687273); Sivakumar, V. (57355014300); Shrivastava, Sanjana (57223008245); Gaurav, Kumar (59144628200)","57225687273; 57355014300; 57223008245; 59144628200","Cybersecurity framework for healthcare industry using NGFW","2021","Proceedings of the 3rd International Conference on Intelligent Communication Technologies and Virtual Mobile Networks, ICICV 2021","","","9388455","196","200","4","8","10.1109/ICICV50876.2021.9388455","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85104491826&doi=10.1109%2fICICV50876.2021.9388455&partnerID=40&md5=ccbcb01ebf4acb68b88280fcdb767a76","In 21st century due to the advancement in technology and digitalization of healthcare networks, cyber attacks on these networks have advanced and are colossal. The need for protecting healthcare industry from such malice is undeniable. Healthcare information is at risk from malicious actors. Improvements in the state of information security and privacy in the industry are critical to the broad adoption, utilization and confidence in health information systems, medical technologies and electronic exchanges of health information. In this paper a survey on different types of most advanced attacks on healthcare industry and the damage they cause is discussed. Existing approaches to protect healthcare networks is highlighted and a framework for using Next Generation Firewall to detect and prevent cyber attacks is proposed. Additionally configuring the NGFW with a unique hospital network architecture is discussed. The need for an NGFW, its advantages and configuration of such a system is illustrated. © 2021 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85104491826"
"Tummers J.; Tobi H.; Catal C.; Tekinerdogan B.","Tummers, Joep (57205271362); Tobi, Hilde (7003700906); Catal, Cagatay (22633325800); Tekinerdogan, Bedir (15761578600)","57205271362; 7003700906; 22633325800; 15761578600","Designing a reference architecture for health information systems","2021","BMC Medical Informatics and Decision Making","21","1","210","","","","17","10.1186/s12911-021-01570-2","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85109665310&doi=10.1186%2fs12911-021-01570-2&partnerID=40&md5=e8433930a9db15283090a2e1b419fb76","Background: Healthcare relies on health information systems (HISs) to support the care and receive reimbursement for the care provided. Healthcare providers experience many problems with their HISs due to improper architecture design. To support the design of a proper HIS architecture, a reference architecture (RA) can be used that meets the various stakeholder concerns of HISs. Therefore, the objective of this study is to develop and analyze an RA following well-established architecture design methods. Methods: Domain analysis was performed to scope and model the domain of HISs. For the architecture design, we applied the views and beyond approach and designed the RA’s views based on the stakeholders and features from the domain analysis. We evaluated the RA with a case study. Results: We derived the following four architecture views for HISs: The context diagram, decomposition view, layered view, and deployment view. Each view shows the architecture of the HIS from a different angle, suitable for various stakeholders. Based on a Japanese hospital information system study, we applied the RA and derived the application architecture. Conclusion: We demonstrated that the methods of the software architecture design community could be used in the healthcare domain effectively and showed the applicability of the RA. © 2021, The Author(s).","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85109665310"
"Holl F.; Clarke L.; Raffort T.; Serres E.; Archer L.; Saaristo P.","Holl, Felix (57202856030); Clarke, Lauren (58979814600); Raffort, Thomas (58979518900); Serres, Elvire (58980120600); Archer, Laura (58979519000); Saaristo, Panu (57197796475)","57202856030; 58979814600; 58979518900; 58980120600; 58979519000; 57197796475","The Red Cross Red Crescent Health Information System (RCHIS): an electronic medical records and health information management system for the red cross red crescent emergency response units","2024","Conflict and Health","18","1","28","","","","0","10.1186/s13031-024-00585-6","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85189949210&doi=10.1186%2fs13031-024-00585-6&partnerID=40&md5=8a7bcc32e7c8b35def629b8ce0b6caa0","Background: The Red Cross and Red Crescent Movement (RCRC) utilizes specialized Emergency Response Units (ERUs) for international disaster response. However, data collection and reporting within ERUs have been time-consuming and paper-based. The Red Cross Red Crescent Health Information System (RCHIS) was developed to improve clinical documentation and reporting, ensuring accuracy and ease of use while increasing compliance with reporting standards. Case presentation: RCHIS is an Electronic Medical Record (EMR) and Health Information System (HIS) designed for RCRC ERUs. It can be accessed on Android tablets or Windows laptops, both online and offline. The system securely stores data on Microsoft Azure cloud, with synchronization facilitated through a local ERU server. The functional architecture covers all clinical functions of ERU clinics and hospitals, incorporating user-friendly features. A pilot study was conducted with the Portuguese Red Cross (PRC) during a large-scale event. Thirteen super users were trained and subsequently trained the staff. During the four-day pilot, 77 user accounts were created, and 243 patient files were documented. Feedback indicated that RCHIS was easy to use, requiring minimal training time, and had sufficient training for full utilization. Real-time reporting facilitated coordination with the civil defense authority. Conclusions: The development and pilot use of RCHIS demonstrated its feasibility and efficacy within RCRC ERUs. The system addressed the need for an EMR and HIS solution, enabling comprehensive clinical documentation and supporting administrative reporting functions. The pilot study validated the training of trainers’ approach and paved the way for further domestic use of RCHIS. RCHIS has the potential to improve patient safety, quality of care, and reporting efficiency within ERUs. Automated reporting reduces the burden on ERU leadership, while electronic compilation enhances record completeness and correctness. Ongoing feedback collection and feature development continue to enhance RCHIS’s functionality. Further trainings took place in 2023 and preparations for international deployments are under way. RCHIS represents a significant step toward improved emergency medical care and coordination within the RCRC and has implications for similar systems in other Emergency Medical Teams. © The Author(s) 2024.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85189949210"
"Osei-Tutu K.; Song Y.-T.","Osei-Tutu, Kofi (57215542738); Song, Yeong-Tae (14016516800)","57215542738; 14016516800","A Microservices Enterprise Architecture for Healthcare Information Exchange (HIE) in Developing Countries","2021","Proceedings - 2021 10th International Congress on Advanced Applied Informatics, IIAI-AAI 2021","","","","762","767","5","2","10.1109/IIAI-AAI53430.2021.00134","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85133173238&doi=10.1109%2fIIAI-AAI53430.2021.00134&partnerID=40&md5=94451a5e3b2d1c56e819885bd3b02a8c","Health Information Exchanges (HIEs) are established to ensure that health records are efficiently shared and transferred to clinical institutions when needed. In low- and middle-income countries (LMICs), digital health information exchange between healthcare institutions is almost non-existent due to many reasons including non-standardized health record format, insufficient network infrastructure, and non-interoperable health information systems. Although most healthcare institutions have their own digital patient record system, those systems lack standardized interfaces with others. Those contributed to the slowdown in HIE development in the region. In such environments, microservices architecture can be used to design resilient systems so the development of scalable and interoperable health information exchange is possible. In this article, we propose an approach that utilizes the microservices architecture [1] paradigm along with enterprise architecture (EA) in developing interoperable HIEs within such environments. © 2021 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85133173238"
"Pereira J.D.; Brito M.A.; Machado R.J.","Pereira, José D. (57199358554); Brito, Miguel A. (35931882600); Machado, Ricardo J. (7101977854)","57199358554; 35931882600; 7101977854","DEVELOPMENT OF AN INTEROPERABILITY PLATFORM FOR INFORMATION SYSTEMS IN THE EHEALTH DOMAIN, FOR THE PORTUGUESE HEALTH SYSTEM","2023","Proceedings of the International Conferences on ICT, Society, and Human Beings 2023, ICT 2023; and e-Health 2023, EH 2023; Connected Smart Cities 2023, CSC 2023; and Big Data Analytics, Data Mining and Computational Intelligence 2023, BigDaCI 2023","","","","141","148","7","1","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85181765270&partnerID=40&md5=c4724ee21f8616b902dc3ea1e3f78f9e","EHealth has emerged as a new field at the intersection of medical informatics, public health and business, referring to healthcare services and information provided or enhanced through information technologies. Today, it is very focused on improving the interoperability between Electronic Health Records (EHRs), Electronic Medical Records (EMRs), and between them and the applications installed on patients' devices (smartphones and IoT), with the development of new platforms. Developments of this type imply the use of standards such as Health Level 7 Fast Healthcare Interoperability Resource (HL7 FHIR), openEHR, and Clinical Data Interchange Standards Consortium (CDISC), which guarantee that health data transmission policies are respected. The work presented in this article is developed within the framework of the Health for Portugal agenda (HfPT), of the ""Agendas Mobilizadoras para a Inovação Empresarial"" promoted by the ""Plano de Recuperação e Resiliência portugês"" (PRR), in collaboration with the Centro de Computação Gráfica (CCG/ZGDV), which is the organization responsible for development of this platform. This article is based on the initial phase of the development of a platform that allows the integration of different information systems, to solve the lack of interoperability of the EHRs of health stakeholders in Portugal and also to reduce the fragmentation of the HIS of the Portuguese SNS. © ICT 2023.All rights reserved.","Conference paper","Final","","Scopus","2-s2.0-85181765270"
"Ramos V.; Marques C.; Peixoto H.; Machado J.","Ramos, Vasco (57568073400); Marques, Carolina (57567468200); Peixoto, Hugo (35422730400); Machado, José (57943272100)","57568073400; 57567468200; 35422730400; 57943272100","Information Technology Monitoring in Healthcare: A Case Study","2023","Lecture Notes in Networks and Systems","692 LNNS","","","351","361","10","0","10.1007/978-3-031-33261-6_30","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85172692659&doi=10.1007%2f978-3-031-33261-6_30&partnerID=40&md5=b17b14aec696139f74f78283fdc0660d","The healthcare environment is particularly relevant when discussing information technology infrastructure monitoring since availability and communication are vital for the proper functioning of healthcare units. It is important to be able to easily monitor and observe each unit from a single point of access so that actions can be swiftly taken when there is a problem. This paper proposes a multi-site and multi-organization web and microservices-based information technology infrastructure monitoring solution. In addition to exploring the developed system and its architecture, it presents a case study resulting from the system’s implementation in an organization and holds a discussion about the obtained results to determine whether a multi-platform monitoring system improves information technology availability in the healthcare industry. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Conference paper","Final","","Scopus","2-s2.0-85172692659"
"Sonia Dewi P.P.; Lubis M.; Abdurrahman L.","Sonia Dewi, Putu Priyanka (59512114700); Lubis, Muharman (49663689900); Abdurrahman, Lukman (56411893600)","59512114700; 49663689900; 56411893600","Aligning Healthcare Strategies Through Digital Information and Technology: Challenges and Solution","2024","2024 12th International Conference on Cyber and IT Service Management, CITSM 2024","","","","","","","0","10.1109/CITSM64103.2024.10775893","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85214901431&doi=10.1109%2fCITSM64103.2024.10775893&partnerID=40&md5=8877c6b270f4081719073609488cb6bd","This study explores the challenges and solutions in implementing information technology in primary healthcare, focusing on Electronic Medical Records (EMR), telemedicine, and Enterprise Architecture (EA). This study uses a qualitative analysis method supported by literature studies and case studies in Indonesia. The main challenges identified include system interoperability issues, data security and privacy, implementation costs, and resistance to change. To address these challenges, the study proposes using strategic gap analysis to assess integration gaps and identify areas for improvement. In addition, implementing EA with the TOGAF framework is expected to improve the coordination and integration of health information systems. Data standardization through implementing FHIR is also essential to strengthen system interoperability. This study recommends developing policies that support the adoption of health technology and the exploration of new technologies in diagnosis. Through this approach, the study aims to improve the efficiency, quality, and overall accessibility of primary healthcare services. © 2024 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85214901431"
"Snegireva E.; Khazankin G.R.; Mikheenko I.","Snegireva, Ekaterina (57219703693); Khazankin, Grigory R. (57200229889); Mikheenko, Igor (57190934679)","57219703693; 57200229889; 57190934679","System Architecture for Reading and Interpreting Physical Printouts of Medical Forms","2021","International Conference of Young Specialists on Micro/Nanotechnologies and Electron Devices, EDM","2021-June","","9507594","547","550","3","0","10.1109/EDM52169.2021.9507594","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85113584032&doi=10.1109%2fEDM52169.2021.9507594&partnerID=40&md5=766586a47b5ac2fd37e232c270faf76b","This article describes the developed architecture of the system module for processing and interpreting analog medical data. Patients often undergo examinations in various medical institutions, and since their results are often handed out to the patient in printed form, the receiving institution transfers them to its database manually. There is also a tendency to completely refuse analog media and use only digital ones. But in this case, another problem appears-either loss or conversion of the accumulated analog base into digital format. These days, automatic document management systems for medical institutions-Health information systems (HIS)-are actively developing. The software module developed in accordance with the architecture described in the article can be used by developers of various HIS to automate the work with analog data. If it is necessary, it can also be freely expanded by adding new modules for working with various analog data. In this article, we take ECG scans and medical test results as examples of such data. As a result of the work undertaken the prototype of the designed system was developed and tested. © 2021 IEEE.","Conference paper","Final","","Scopus","2-s2.0-85113584032"
"Dang A.; Beydoun G.","Dang, Anthony (57815778500); Beydoun, Ghassan (55912707700)","57815778500; 55912707700","Toward Addressing the Software Architecture Blind Spot of Information System Success Factors in the Public Health Domain","2023","Australasian Conference on Information Systems, ACIS 2023","","","","","","","0","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85200118645&partnerID=40&md5=385fb713d03823f42cb889cdec654317","Context: In the public health domain, there is no shortage of failed Information Systems projects. In addition to overblown budgets and elapsed deadlines (ad nauseam), technical issues exist. These include poor usability, instability, system performance, and data inconsistency issues. The issues relate to Software Engineering, and specifically Software Architecture. The role of Software Architecture underpins these issues. However, the enquiries and analyses of these failed Information Systems projects have focused on the perspective of stakeholders (e.g., government ministers and health practitioners) and project managers. While stakeholders provide input into project requirements and goals, the project failure or success does not emanate from these roles exclusively. For example, system instability is not specifically a stakeholder issue but rather a Software Architecture concern. Aim: To bring to bear and address public sector health Information System failure from the Software Architecture perspective. Method: A literature survey was conducted to ascertain the perceived failure and success factors within the public health domain. Results: We observed that the available literature on health Information Systems appears to lack success factors which have been noted in the Software Engineering and Software Architecture literature. Software Architecture appears to be an understudied area within the public health domain. Contribution: To bring awareness to the public health domain that the Information System's success requires multi-faceted perspectives and actions. Specifically, perspectives and actions involving Software Architects and Software Engineers are required to successfully address the quality attributes of the proposed systems during development. Copyright © 2023 Anthony Dang and Ghassan Beydoun.","Conference paper","Final","","Scopus","2-s2.0-85200118645"
"","","","9th International Conference on Digital Economy, ICDEc 2024","2025","Lecture Notes in Business Information Processing","530 LNBIP","","","","","750","0","","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85211502187&partnerID=40&md5=1689a789d20fec9ecddfc229b097bf3a","The proceedings contain 43 papers. The special focus in this conference is on Digital Economy. The topics include: A Sentiment Analysis Approach for Hotels Rating; application of Blockchain in Human Resources Management; predicting Turnover Tendency of Candidates/Employees Based on Personality Assessment Tests: A Data-Driven Approach; ‘Why Embrace Augmented Reality Beauty Filters?’: Delving into Young Women’s Motivations; marketplace Platforms: Towards a New Taxonomy; comparative Analysis of Clinical Terminology Servers: A Quest for an Improved Solution; a Payment Architecture for Decentralized Data Spaces Based on Gaia-X; modelling a Patient Identifier System in the Estonian National Health Information System; ICT and the Digital Divide: Analyzing ICT Indicators in Morocco Using PCA; technological Digitalization Model for Medium-Sized Pig Farms in Mexico; analysis of the Relationship Between Innovation, Digitalization and Economic Growth in North African Countries; unveiling the Dynamics: Global Innovation Index and Digital Technologies Corporate Sophistication in Emerging Country Institutions; evaluating the Role of Mobile Money in Alleviating Liquidity Deficit in Morocco; diagnosing Mobile Banking Applications to Optimize User Experience and Engagement Method, Features and Recommendations; the Impact of Internet Banking Adoption on the Financial Performance of the Banking Industry: Evidence from Morocco; Examining the Impact of Bitcoin Price Volatility on Stock Markets: A Comparative Analysis Between ARDL and NARDL Approaches; when the Artificial Revolutionizes the Reality: Focus on This New Trend of Virtual Influencers; search Engine Gender Bias: Cross Cultural Analysis; delving into the Dark Side of Artificial Intelligence in Green Marketing.","Conference review","Final","","Scopus","2-s2.0-85211502187"
"Elsner B.; Winter A.; Lüdtke K.; Degen-Plöger C.; Jahn F.","Elsner, Bernhard (55849423000); Winter, Alfred (7202642905); Lüdtke, Kerstin (54793109600); Degen-Plöger, Christof (58535883600); Jahn, Franziska (54393328600)","55849423000; 7202642905; 54793109600; 58535883600; 54393328600","A Strategic Plan for a Physiotherapy Information System in a German Medical Center","2025","Studies in health technology and informatics","327","","","747","748","1","0","10.3233/SHTI250449","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-105005816791&doi=10.3233%2fSHTI250449&partnerID=40&md5=282f2a7718059b4ddd5850603b22d192","Aim of the study was to systematically develop a strategic plan for the information system of a new institute of physiotherapy in a German medical center. We modeled the information system's current and future state by architecture and process models. Source of information were interviews with personnel. A strategic management plan for developing the institute's information system has been proposed. A migration path has been established with 23 tactical projects over the next 3 years to accomplish to attain strategic management goals. This work is the first step towards a reference model for physiotherapy institutes.","Article","Final","","Scopus","2-s2.0-105005816791"
"Marques C.; Ramos V.; Peixoto H.; Machado J.","Marques, Carolina (57567468200); Ramos, Vasco (57568073400); Peixoto, Hugo (35422730400); Machado, José (57943272100)","57567468200; 57568073400; 35422730400; 57943272100","Pervasive Monitoring System for Services and Servers in Healthcare Environment","2022","Procedia Computer Science","201","C","","720","725","5","4","10.1016/j.procs.2022.03.097","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85132186057&doi=10.1016%2fj.procs.2022.03.097&partnerID=40&md5=e46c2b47a98b1e8446e72ab0b00c1ea2","Information systems are continuously evolving in nature and complexity. In the healthcare environment, information and information exchange are critical for providing health care at all levels. Hence, the healthcare environment is particularly relevant when discussing IT infrastructure monitoring and disaster prevention since availability and communication are vital for the proper functioning of healthcare units, whether acting in isolation or on a network. This work focuses on understanding what comprises a good monitoring solution, analyzing the monitoring solutions currently available in the optics of a multi-location healthcare environment and, finally, proposing a pervasive and comprehensive conceptual architecture for a monitoring system that is capable of handling such environments. © 2022 Elsevier B.V.. All rights reserved.","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85132186057"
"Al-Aswad H.; El-Medany W.M.; Balakrishna C.; Ababneh N.; Curran K.","Al-Aswad, Hasan (57216628076); El-Medany, Wael M. (57201881301); Balakrishna, Chitra (24476365400); Ababneh, Nedal (24450073400); Curran, Kevin (55819980700)","57216628076; 57201881301; 24476365400; 24450073400; 55819980700","BZKP: Blockchain-based zero-knowledge proof model for enhancing healthcare security in Bahrain IoT smart cities and COVID-19 risk mitigation","2021","Arab Journal of Basic and Applied Sciences","28","1","","154","171","17","26","10.1080/25765299.2020.1870812","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85106289826&doi=10.1080%2f25765299.2020.1870812&partnerID=40&md5=2fec155b2aa91bf04377431fa5673372","Smart cities achieved digital transformation of patients’ health records through the use of new technology in IoT healthcare industry. Such technologies of using IoT and remote patient monitoring systems have become dramatically fundamental to reduce the movement of patients, and hence reducing the risk of spreading Covid-19 infection. The Ministry of Health in the Kingdom of Bahrain strives to achieve digital transformation in the healthcare industry, where the National Health Information System (I-SEHA) was launched to provide higher-quality health services. The system interconnects the public healthcare institutes, allowing access to patient’s data from any location without the hassle of moving the files physically. Digitization of medical data of patients and sharing some of the data with other institutions outside the protected networks may lead to major privacy and integrity concerns. This paper introduces Blockchain-based Zero-Knowledge Proof (BZKP) model, which is an IoT-based patient-centric model that fuses a zero-knowledge proof solution to be developed for protecting patient’s privacy, and ensures patients prior consent on any access to their data including their health status and account balance. The proposed model is developed to provide a robust and scalable architecture for data sharing, which protects the privacy of sensitive data while maintaining high availability. It also provides strong trust and integrity of data by using the immutability features of the blockchain. BZKP is based on pre-approved blockchain access tokens to address challenges of accountability and privacy in Bahrain smart cities. As a result, the model provides a secure and trusted access model between different stakeholders to share patient data while maintaining privacy, trust, and high availability. The zero-knowledge proof can be used with the smart contracts, which provides programmable actions that can be used for automating the prescriptions dispensation process for private pharmacies in a decentralized manner with high confidence. Finally, it recommends enhanced electronic key (eKey) procedures used by eGovernment of the Kingdom of Bahrain to update the smart card which stores the personal keys for protecting patient’s privacy and provide better consent. © 2021 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group on behalf of the University of Bahrain.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85106289826"
"Perugu B.; Wadhwa V.; Kim J.; Cai J.; Shin A.; Gupta A.","Perugu, Bharath (58516832800); Wadhwa, Varun (58517045700); Kim, Jin (58516832900); Cai, Jenny (58517151400); Shin, Audrey (58516728000); Gupta, Amar (8451638300)","58516832800; 58517045700; 58516832900; 58517151400; 58516728000; 8451638300","Surmounting Barriers to Healthcare Data and Information: U.S. Case Studies","2023","Telehealth and Medicine Today","8","4","425","","","","0","10.30953/THMT.V8.425","https://scopus.unalproxy.elogim.com/inward/record.uri?eid=2-s2.0-85199774794&doi=10.30953%2fTHMT.V8.425&partnerID=40&md5=7da99e1eaeaa610a331224b876cb4234","Objective: This article reviews the progress of healthcare interoperability in three separate case studies in the United States. Interoperability, in the context of this article, is “the ability to share information across time and space from multiple devices, sources, and organizations,” as defined by the IEEE (Institute of Electrical and Electronic Engineers). This is followed by recommendations for future policy work toward improving the standardization of heterogeneous data in the healthcare setting. Methodology: A literature review was conducted on established interoperability systems in healthcare based on information obtained from journal publications, government and academy reports, published materials, and publicly available websites. Examples of interoperable solutions adapted to systems were provided at three levels of healthcare interoperability, as defined by the National Academy of Medicine: inter-facility interoperability, intra-facility interoperability, and point-of-care interoperability. Results: This review reveals that adopting existing interoperability standards to clinical settings, even when prudent and tailored to a specific application, may lack scalability. Broader tasks in interoperability require customized solutions in conjunction with standards adapted to each health information system’s infrastructure and objectives. Conclusions: The development of custom solutions may be simplified under the recent development of the Trusted Exchange Framework and Common Agreement (TEFCA) framework, which greatly reduces data exchange friction in many healthcare contexts. In addition, funding middleware architectures to mediate data exchange between separate healthcare organizations may also be an effective strategy for consolidating healthcare data and improving information exchange. © 2023.","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85199774794"
